2014-09-09 22:08:25,547 INFO  yusoof-0 : The Grinder version 3.11
2014-09-09 22:08:25,550 INFO  yusoof-0 : Java(TM) SE Runtime Environment 1.7.0_67-b01: Java HotSpot(TM) 64-Bit Server VM (24.65-b04, mixed mode) on Linux amd64 3.13.0-32-generic
2014-09-09 22:08:25,551 INFO  yusoof-0 : time zone is BST (+0100)
2014-09-09 22:08:25,609 INFO  yusoof-0 : worker process 0
2014-09-09 22:08:25,647 INFO  yusoof-0 : instrumentation agents: byte code transforming instrumenter for Jython 2.5; byte code transforming instrumenter for Java
2014-09-09 22:08:27,043 INFO  yusoof-0 : registered plug-in net.grinder.plugin.http.HTTPPlugin
2014-09-09 22:08:27,111 INFO  yusoof-0 : running "http.py" using Jython 2.5.3 (2.5:c56500f08d34+, Aug 13 2012, 14:54:35) 
[Java HotSpot(TM) 64-Bit Server VM (Oracle Corporation)]
2014-09-09 22:08:27,159 INFO  yusoof-0 thread-0: starting, will run forever
2014-09-09 22:08:27,160 INFO  yusoof-0 : start time is 1410296907160 ms since Epoch
2014-09-09 22:08:27,202 INFO  yusoof-0 thread-0 [ run-0, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,229 INFO  yusoof-0 thread-0 [ run-1, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,249 INFO  yusoof-0 thread-0 [ run-2, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,273 INFO  yusoof-0 thread-0 [ run-3, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,295 INFO  yusoof-0 thread-0 [ run-4, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,312 INFO  yusoof-0 thread-0 [ run-5, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,329 INFO  yusoof-0 thread-0 [ run-6, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,344 INFO  yusoof-0 thread-0 [ run-7, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,358 INFO  yusoof-0 thread-0 [ run-8, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,379 INFO  yusoof-0 thread-0 [ run-9, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,403 INFO  yusoof-0 thread-0 [ run-10, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,424 INFO  yusoof-0 thread-0 [ run-11, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
2014-09-09 22:08:27,443 INFO  yusoof-0 thread-0 [ run-12, test-1 ]: http://localhost:8080/productService/admin/monitoring -> 200 OK, 833 bytes
